Year,State,AI_AN_Population,Total_Population,AI_AN_Population_Percent
2020,Arizona,296529,7151502,4.146387709882483
2020,New Mexico,219513,2117522,10.36650386631166
2020,Oklahoma,523549,3959353,13.223094783415371
2020,Alaska,113953,733391,15.537823616597422
2020,Montana,79840,1084225,7.363785192187969
2020,California,649862,39538223,1.6436297604978352
2020,Texas,315944,29145505,1.0840230766287975
2020,Washington,224377,7705281,2.911989841772156
2020,North Carolina,130806,10439388,1.2530044864698966
2020,Minnesota,119757,5706494,2.098609058381556
2020,South Dakota,72749,886667,8.204771351589718
2020,Florida,101295,21538187,0.470304208984721
2020,Colorado,103467,5773714,1.7920354212210718
2020,Nevada,62079,3104614,1.9995722495614592
2020,Oregon,100422,4237256,2.369977173906887
2020,Utah,60322,3271616,1.8437982941763336
2020,Michigan,139735,10077331,1.386627074172715
2020,New York,231594,20201249,1.146434064547197
2020,Idaho,33746,1839106,1.8349132676419957
2020,New Jersey,49318,9288994,0.5309293988132623
